X,Y,Z
-0.15737015008926392,-0.06727927178144455,-0.36179041862487793
-0.1581537425518036,-0.06808120012283325,-0.35886484384536743
-0.15893808007240295,-0.0688832625746727,-0.3559402525424957
-0.1597215235233307,-0.06968461722135544,-0.3530184328556061
-0.16050446033477783,-0.070485420525074,-0.3500972092151642
-0.16128699481487274,-0.07128611207008362,-0.3471774458885193
-0.1620689034461975,-0.07208596915006638,-0.34425902366638184
-0.1628512293100357,-0.07288586348295212,-0.341341495513916
-0.1696227490901947,-0.07942654192447662,-0.344899982213974
-0.147356778383255,-0.06279750168323517,-0.384235143661499
-0.14814451336860657,-0.06360246241092682,-0.38130009174346924
-0.1489316076040268,-0.0644066259264946,-0.3783656656742096
-0.14971858263015747,-0.06521029025316238,-0.3754333555698395
-0.15050536394119263,-0.0660138800740242,-0.3725014626979828
-0.1512914001941681,-0.06681710481643677,-0.3695720136165619
-0.1520776003599167,-0.06761980056762695,-0.3666437268257141
-0.15286250412464142,-0.0684218779206276,-0.36371707916259766
-0.15364784002304077,-0.0692237913608551,-0.36079180240631104
-0.15443208813667297,-0.07002507895231247,-0.35786789655685425
-0.1552165299654007,-0.07082648575305939,-0.3549448847770691
-0.1560002714395523,-0.07162684202194214,-0.3520239293575287
-0.15678389370441437,-0.0724271833896637,-0.34910455346107483
-0.15756671130657196,-0.0732269361615181,-0.34618619084358215
-0.1583494246006012,-0.07402656972408295,-0.34326961636543274
-0.15913167595863342,-0.07482559233903885,-0.34035301208496094
-0.16525417566299438,-0.08075632154941559,-0.343218594789505
-0.17378228902816772,-0.08899922668933868,-0.348666787147522
-0.13731534779071808,-0.05830070376396179,-0.40675273537635803
-0.13810688257217407,-0.05910816788673401,-0.4038070738315582
-0.13889697194099426,-0.059914395213127136,-0.4008612036705017
-0.13968807458877563,-0.06072111427783966,-0.3979186415672302
-0.14047794044017792,-0.061526820063591,-0.3949772119522095
-0.14126762747764587,-0.062332309782505035,-0.3920372426509857
-0.14205700159072876,-0.06313769519329071,-0.3890992999076843
-0.1428457647562027,-0.06394210457801819,-0.3861624300479889
-0.14363440871238708,-0.06474662572145462,-0.38322609663009644
-0.14442265033721924,-0.06555064022541046,-0.38029223680496216
-0.14521026611328125,-0.06635375320911407,-0.37735921144485474
-0.145997554063797,-0.06715721637010574,-0.37442851066589355
-0.14678505063056946,-0.06796009093523026,-0.3714984059333801
-0.1475714147090912,-0.06876213103532791,-0.3685702681541443
-0.14835739135742188,-0.06956405192613602,-0.36564353108406067
-0.14914259314537048,-0.07036513090133667,-0.36271771788597107
-0.14992846548557281,-0.07116635143756866,-0.35979437828063965
-0.1507132351398468,-0.07196687906980515,-0.3568718433380127
-0.1514979749917984,-0.07276744395494461,-0.35394996404647827
-0.15228214859962463,-0.07356737554073334,-0.3510304093360901
-0.15306594967842102,-0.074366994202137,-0.34811270236968994
-0.1538495421409607,-0.07516604661941528,-0.3451959788799286
-0.1546325981616974,-0.0759647786617279,-0.34228068590164185
-0.15541550517082214,-0.07676322758197784,-0.33936628699302673
-0.1608901172876358,-0.08208248019218445,-0.34153810143470764
-0.16939762234687805,-0.09032410383224487,-0.346977174282074
-0.17796283960342407,-0.09862150996923447,-0.3524528741836548
-0.1272435486316681,-0.05378797650337219,-0.4293422996997833
-0.12803882360458374,-0.05459780991077423,-0.42638644576072693
-0.1288328766822815,-0.05540682375431061,-0.4234312176704407
-0.12962746620178223,-0.0562160462141037,-0.4204777181148529
-0.13042058050632477,-0.05702368915081024,-0.41752558946609497
-0.13121485710144043,-0.05783262848854065,-0.41457462310791016
-0.1320076733827591,-0.05864037573337555,-0.41162607073783875
-0.13279996812343597,-0.059447407722473145,-0.4086779057979584
-0.13359209895133972,-0.06025409698486328,-0.4057322144508362
-0.1343839317560196,-0.061060503125190735,-0.4027882218360901
-0.13517484068870544,-0.06186644732952118,-0.39984363317489624
-0.13596580922603607,-0.06267217546701431,-0.3969023823738098
-0.13675662875175476,-0.06347750872373581,-0.3939630091190338
-0.137546569108963,-0.06428205966949463,-0.39102450013160706
-0.13833625614643097,-0.06508661061525345,-0.3880876302719116
-0.1391255408525467,-0.06589031219482422,-0.3851526975631714
-0.13991446793079376,-0.0666939914226532,-0.38221755623817444
-0.140703022480011,-0.06749718636274338,-0.3792847692966461
-0.1414911448955536,-0.06829994916915894,-0.37635424733161926
-0.1422785520553589,-0.069101981818676,-0.37342432141304016
-0.1430663764476776,-0.06990430504083633,-0.3704952299594879
-0.1438533216714859,-0.07070566713809967,-0.3675689101219177
-0.14463986456394196,-0.07150702178478241,-0.36464378237724304
-0.14542575180530548,-0.07230738550424576,-0.3617197871208191
-0.14621171355247498,-0.07310786843299866,-0.358797550201416
-0.14699670672416687,-0.07390785217285156,-0.3558768630027771
-0.14778195321559906,-0.07470756024122238,-0.35295671224594116
-0.14856655895709991,-0.07550660520792007,-0.35003820061683655
-0.1493510901927948,-0.07630562782287598,-0.3471219539642334
-0.15013456344604492,-0.07710368931293488,-0.3442065417766571
-0.15091845393180847,-0.0779019221663475,-0.3412930369377136
-0.15170131623744965,-0.07869969308376312,-0.33837974071502686
-0.1565319448709488,-0.08340733498334885,-0.33986032009124756
-0.16501779854297638,-0.09164687246084213,-0.3452891707420349
-0.1735614836215973,-0.09994260966777802,-0.35075488686561584
-0.11714272201061249,-0.04925735294818878,-0.4520096480846405
-0.11794209480285645,-0.05007025599479675,-0.4490428566932678
-0.1187400072813034,-0.050881996750831604,-0.446076363325119
-0.11953791230916977,-0.051693663001060486,-0.44311150908470154
-0.12033546715974808,-0.05250479280948639,-0.4401484429836273
-0.12113267183303833,-0.05331534147262573,-0.43718722462654114
-0.12192876636981964,-0.05412536859512329,-0.4342271387577057
-0.12272518873214722,-0.05493541061878204,-0.4312695264816284
-0.12352143228054047,-0.0557449609041214,-0.4283119738101959
-0.12431646138429642,-0.05655395984649658,-0.425356388092041
-0.1251116394996643,-0.05736275017261505,-0.42240333557128906
-0.1259063184261322,-0.05817060172557831,-0.41945114731788635
-0.12670038640499115,-0.0589783638715744,-0.4165005683898926
-0.1274941861629486,-0.05978599190711975,-0.41355061531066895
-0.12828724086284637,-0.06059253215789795,-0.4106035828590393
-0.12908011674880981,-0.06139932572841644,-0.4076574742794037
-0.12987279891967773,-0.062205247581005096,-0.40471315383911133
-0.13066470623016357,-0.06301067024469376,-0.4017702341079712
-0.13145670294761658,-0.06381626427173615,-0.3988282084465027
-0.1322479248046875,-0.06462115049362183,-0.39588814973831177
-0.13303828239440918,-0.06542503088712692,-0.39294949173927307
-0.1338295191526413,-0.0662296861410141,-0.39001283049583435
-0.13461919128894806,-0.06703293323516846,-0.3870772421360016
-0.13540895283222198,-0.0678359642624855,-0.384143590927124
-0.13619816303253174,-0.0686388611793518,-0.3812101185321808
-0.1369876116514206,-0.06944166868925095,-0.37827950716018677
-0.137775719165802,-0.07024331390857697,-0.375349760055542
-0.1385640799999237,-0.07104513794183731,-0.37242212891578674
-0.1393517553806305,-0.07184620201587677,-0.36949437856674194
-0.14013899862766266,-0.07264727354049683,-0.3665692210197449
-0.14092589914798737,-0.07344744354486465,-0.3636453151702881
-0.14171257615089417,-0.0742475613951683,-0.36072322726249695
-0.14249885082244873,-0.07504712045192719,-0.35780230164527893
-0.14328470826148987,-0.07584646344184875,-0.354883074760437
-0.14406991004943848,-0.07664504647254944,-0.35196375846862793
-0.14485511183738708,-0.07744376361370087,-0.34904757142066956
-0.14563965797424316,-0.0782417505979538,-0.3461325764656067
-0.14642378687858582,-0.07903946191072464,-0.34321877360343933
-0.14720773696899414,-0.07983668148517609,-0.34030643105506897
-0.1479913592338562,-0.08063385635614395,-0.3373945355415344
-0.15217912197113037,-0.08472831547260284,-0.3381839096546173
-0.16064463555812836,-0.09296657145023346,-0.34360331296920776
-0.16916804015636444,-0.10126113891601562,-0.34905996918678284
-0.17774683237075806,-0.10960989445447922,-0.35455214977264404
-0.10701175034046173,-0.04470987617969513,-0.47475606203079224
-0.10781446099281311,-0.0455252081155777,-0.4717765152454376
-0.10861659795045853,-0.046339720487594604,-0.46879905462265015
-0.10941820591688156,-0.04715387523174286,-0.4658230245113373
-0.11021976917982101,-0.0479678213596344,-0.4628497064113617
-0.1110200509428978,-0.04878075420856476,-0.4598768651485443
-0.11182074248790741,-0.04959380626678467,-0.45690470933914185
-0.11262111365795135,-0.05040670931339264,-0.4539361596107483
-0.1134207546710968,-0.05121874809265137,-0.4509684443473816
-0.11421965807676315,-0.0520302951335907,-0.44800207018852234
-0.11501853168010712,-0.05284184217453003,-0.4450379014015198
-0.1158168762922287,-0.053652480244636536,-0.4420738220214844
-0.11661490797996521,-0.054462969303131104,-0.4391125738620758
-0.11741168051958084,-0.05527260899543762,-0.43615278601646423
-0.11820900440216064,-0.056082189083099365,-0.43319466710090637
-0.11900557577610016,-0.0568915456533432,-0.4302379786968231
-0.11980202794075012,-0.05770036578178406,-0.42728206515312195
-0.12059764564037323,-0.05850835144519806,-0.4243285059928894
-0.12139326333999634,-0.05931653082370758,-0.4213765263557434
-0.12218791246414185,-0.06012360751628876,-0.41842567920684814
-0.12298263609409332,-0.06093078851699829,-0.41547727584838867
-0.12377694249153137,-0.061737388372421265,-0.41252872347831726
-0.12457051873207092,-0.06254345178604126,-0.40958237648010254
-0.12536412477493286,-0.06334932893514633,-0.4066385328769684
-0.12615680694580078,-0.0641544982790947,-0.4036954641342163
-0.12694934010505676,-0.06495946645736694,-0.40075379610061646
-0.12774163484573364,-0.06576420366764069,-0.3978136479854584
-0.12853319942951202,-0.06656815856695175,-0.3948748707771301
-0.1293243169784546,-0.06737151741981506,-0.39193814992904663
-0.13011512160301208,-0.06817491352558136,-0.38900238275527954
-0.13090577721595764,-0.06897817552089691,-0.38606858253479004
-0.1316959112882614,-0.06978046894073486,-0.3831363916397095
-0.13248562812805176,-0.07058234512805939,-0.38020434975624084
-0.13327491283416748,-0.07138438522815704,-0.37727510929107666
-0.1340639591217041,-0.0721854418516159,-0.37434664368629456
-0.1348525732755661,-0.07298657298088074,-0.3714205026626587
-0.13564033806324005,-0.0737869068980217,-0.36849385499954224
-0.13642823696136475,-0.07458706945180893,-0.3655703365802765
-0.13721540570259094,-0.07538656890392303,-0.3626478910446167
-0.1380024403333664,-0.07618594169616699,-0.35972732305526733
-0.13878875970840454,-0.0769844800233841,-0.35680755972862244
-0.13957521319389343,-0.07778307795524597,-0.3538903594017029
-0.14036110043525696,-0.07858128100633621,-0.35097265243530273
-0.1411464661359787,-0.07937905192375183,-0.3480573296546936
-0.1419316530227661,-0.08017648756504059,-0.34514379501342773
-0.14271625876426697,-0.08097321540117264,-0.34223198890686035
-0.14350029826164246,-0.08176970481872559,-0.33932074904441833
-0.14428459107875824,-0.08256614953279495,-0.3364107310771942
-0.14783218502998352,-0.08604683727025986,-0.3365095853805542
-0.1562773883342743,-0.09428417682647705,-0.34192001819610596
-0.16477951407432556,-0.10257669538259506,-0.34736669063568115
-0.17333769798278809,-0.11092426627874374,-0.35284945368766785
-0.18195736408233643,-0.11933140456676483,-0.3583713173866272
-0.09684962034225464,-0.04014357924461365,-0.49758216738700867
-0.09765595197677612,-0.04096174240112305,-0.4945913851261139
-0.09846183657646179,-0.0417792946100235,-0.49160265922546387
-0.09926736354827881,-0.042596206068992615,-0.4886152744293213
-0.10007330030202866,-0.04341347515583038,-0.4856293201446533
-0.10087738931179047,-0.04422895610332489,-0.48264509439468384
-0.10168184340000153,-0.045044660568237305,-0.4796626567840576
-0.10248591005802155,-0.045860499143600464,-0.47668248414993286
-0.1032894104719162,-0.046674907207489014,-0.4737037420272827
-0.10409262776374817,-0.047489821910858154,-0.4707253873348236
-0.1048949807882309,-0.048303887248039246,-0.46774953603744507
-0.10569684207439423,-0.04911690950393677,-0.4647755026817322
-0.10649892687797546,-0.04993028938770294,-0.4618030786514282
-0.10729975998401642,-0.050742894411087036,-0.45883190631866455
-0.10810090601444244,-0.05155506730079651,-0.45586156845092773
-0.10890140384435654,-0.052366867661476135,-0.4528942406177521
-0.10970130562782288,-0.0531783401966095,-0.4499277174472809
-0.11050088703632355,-0.05398915708065033,-0.44696322083473206
-0.11129973083734512,-0.054799482226371765,-0.44400012493133545
-0.11209872364997864,-0.055610090494155884,-0.44103825092315674
-0.11289745569229126,-0.05641986429691315,-0.4380788207054138
-0.11369475722312927,-0.05722838640213013,-0.4351198971271515
-0.11449237167835236,-0.05803731083869934,-0.43216317892074585
-0.11528919637203217,-0.05884543061256409,-0.4292079508304596
-0.11608582735061646,-0.059653639793395996,-0.42625346779823303
-0.11688254773616791,-0.06046132743358612,-0.4233016073703766
-0.11767825484275818,-0.06126849353313446,-0.42035073041915894
-0.11847306042909622,-0.06207502633333206,-0.41740182042121887
-0.11926789581775665,-0.06288105994462967,-0.4144541919231415
-0.1200629323720932,-0.06368737667798996,-0.41150766611099243
-0.12085668742656708,-0.06449245661497116,-0.40856292843818665
-0.12165055423974991,-0.06529732793569565,-0.4056200683116913
-0.12244373559951782,-0.06610215455293655,-0.4026787281036377
-0.12323687970638275,-0.06690654158592224,-0.3997392952442169
-0.12402959167957306,-0.06771021336317062,-0.39680004119873047
-0.12482134252786636,-0.06851346790790558,-0.39386293292045593
-0.12561288475990295,-0.06931622326374054,-0.3909272849559784
-0.12640395760536194,-0.07011839747428894,-0.3879929780960083
-0.12719511985778809,-0.07092088460922241,-0.3850606381893158
-0.12798529863357544,-0.07172216475009918,-0.38212960958480835
-0.12877635657787323,-0.07252440601587296,-0.3792000710964203
-0.1295657604932785,-0.07332521677017212,-0.3762718439102173
-0.13035473227500916,-0.07412544637918472,-0.3733448386192322
-0.13114342093467712,-0.07492552697658539,-0.3704192638397217
-0.1319325715303421,-0.07572577893733978,-0.36749550700187683
-0.13272051513195038,-0.07652492821216583,-0.3645731210708618
-0.13350829482078552,-0.07732387632131577,-0.3616521656513214
-0.13429585099220276,-0.07812248170375824,-0.35873302817344666
-0.1350824534893036,-0.07892051339149475,-0.35581499338150024
-0.13586905598640442,-0.07971823215484619,-0.352898508310318
-0.1366555094718933,-0.08051587641239166,-0.3499823212623596
-0.13744136691093445,-0.08131302893161774,-0.34706878662109375
-0.13822689652442932,-0.08210945129394531,-0.34415680170059204
-0.1390116810798645,-0.08290521800518036,-0.3412458598613739
-0.1397962123155594,-0.0837014690041542,-0.33833611011505127
-0.14058056473731995,-0.08449697494506836,-0.33542776107788086
-0.1434922218322754,-0.08736379444599152,-0.3348381817340851
-0.1519159972667694,-0.09559886902570724,-0.34023863077163696
-0.16039687395095825,-0.10388953983783722,-0.3456754684448242
-0.16893494129180908,-0.11223618686199188,-0.3511490821838379
-0.17753233015537262,-0.12064102292060852,-0.35666054487228394
-0.18618424236774445,-0.12909942865371704,-0.362207293510437
-0.08665411919355392,-0.03555910289287567,-0.5204921960830688
-0.08746499568223953,-0.03638021647930145,-0.5174902081489563
-0.08827517181634903,-0.037200927734375,-0.5144879817962646
-0.08908452093601227,-0.03802047669887543,-0.5114888548851013
-0.08989356458187103,-0.03884011507034302,-0.5084920525550842
-0.09070248901844025,-0.03965914249420166,-0.5054962038993835
-0.09151101112365723,-0.040477827191352844,-0.5025023818016052
-0.09231870621442795,-0.04129612445831299,-0.4995090663433075
-0.0931258574128151,-0.042113661766052246,-0.49651825428009033
-0.09393277764320374,-0.042931050062179565,-0.4935295879840851
-0.09473924338817596,-0.043747588992118835,-0.49054211378097534
-0.09554514288902283,-0.04456394910812378,-0.48755648732185364
-0.0963515192270279,-0.04538024961948395,-0.4845718443393707
-0.09715644270181656,-0.04619549214839935,-0.4815894067287445
-0.09796075522899628,-0.04701019823551178,-0.47860831022262573
-0.09876535832881927,-0.04782502353191376,-0.4756295084953308
-0.09956929832696915,-0.04863916337490082,-0.4726523756980896
-0.10037250071763992,-0.04945287108421326,-0.46967509388923645
-0.10117574781179428,-0.05026628077030182,-0.46670135855674744
-0.10197773575782776,-0.0510786771774292,-0.46372807025909424
-0.10278018563985825,-0.051891401410102844,-0.46075767278671265
-0.10358133912086487,-0.05270308256149292,-0.4577878415584564
-0.10438352823257446,-0.05351509153842926,-0.45481958985328674
-0.10518413037061691,-0.05432590842247009,-0.45185330510139465
-0.10598406940698624,-0.055136412382125854,-0.44888854026794434
-0.1067841574549675,-0.05594664812088013,-0.4459257423877716
-0.10758372396230698,-0.05675619840621948,-0.4429638683795929
-0.10838282108306885,-0.05756580829620361,-0.44000303745269775
-0.1091814786195755,-0.058374449610710144,-0.4370444715023041
-0.10997985303401947,-0.059182897210121155,-0.4340881407260895
-0.11077764630317688,-0.05999119579792023,-0.43113285303115845
-0.11157514154911041,-0.06079867482185364,-0.42817923426628113
-0.11237198114395142,-0.06160547584295273,-0.42522600293159485
-0.11316878348588943,-0.06241269409656525,-0.4222753047943115
-0.11396493017673492,-0.06321887671947479,-0.4193265438079834
-0.11476044356822968,-0.06402472406625748,-0.41637861728668213
-0.11555568128824234,-0.06483010202646255,-0.4134329557418823
-0.11635109782218933,-0.06563562899827957,-0.4104873836040497
-0.11714541912078857,-0.06644045561552048,-0.4075447618961334
-0.11793939769268036,-0.06724408268928528,-0.40460288524627686
-0.11873291432857513,-0.06804808229207993,-0.4016626179218292
-0.11952647566795349,-0.06885165721178055,-0.39872485399246216
-0.12031971663236618,-0.06965511292219162,-0.39578697085380554
-0.12111197412014008,-0.07045748829841614,-0.3928515911102295
-0.1219041496515274,-0.07125995308160782,-0.38991743326187134
-0.1226956769824028,-0.07206134498119354,-0.3869847059249878
-0.12348705530166626,-0.07286259531974792,-0.3840538561344147
-0.12427780032157898,-0.07366383075714111,-0.38112443685531616
-0.12506864964962006,-0.07446454465389252,-0.378195583820343
-0.1258586347103119,-0.07526478171348572,-0.3752688765525818
-0.12664824724197388,-0.07606452703475952,-0.37234386801719666
-0.12743765115737915,-0.07686380296945572,-0.36942028999328613
-0.12822654843330383,-0.07766297459602356,-0.36649683117866516
-0.12901520729064941,-0.07846184074878693,-0.3635765016078949
-0.12980321049690247,-0.07925991714000702,-0.36065685749053955
