X,Y,Z
-0.09844152629375458,-0.25500625371932983,-0.18445146083831787
-0.09925614297389984,-0.2557922601699829,-0.18161754310131073
-0.10006993263959885,-0.2565770447254181,-0.1787853240966797
-0.10088425874710083,-0.2573620676994324,-0.17595484852790833
-0.0921771302819252,-0.25425565242767334,-0.1882018744945526
-0.09299232065677643,-0.2550407350063324,-0.1853693127632141
-0.09380697458982468,-0.2558257579803467,-0.18253785371780396
-0.0946221798658371,-0.25661107897758484,-0.17970705032348633
-0.09543664008378983,-0.25739505887031555,-0.17687755823135376
-0.09625059366226196,-0.25817954540252686,-0.17404985427856445
-0.09706428647041321,-0.25896337628364563,-0.17122262716293335
-0.09787815809249878,-0.2597469389438629,-0.16839715838432312
-0.0867357850074768,-0.2542908191680908,-0.18911775946617126
-0.08755169808864594,-0.25507572293281555,-0.1862872838973999
-0.08836714923381805,-0.25585994124412537,-0.18345767259597778
-0.0891818255186081,-0.2566439211368561,-0.18062889575958252
-0.08999747037887573,-0.2574281692504883,-0.17780083417892456
-0.09081144630908966,-0.25821149349212646,-0.17497357726097107
-0.09162574261426926,-0.2589949369430542,-0.1721484363079071
-0.09243959188461304,-0.2597782015800476,-0.16932398080825806
-0.09325318038463593,-0.26056110858917236,-0.16650092601776123
-0.09406663477420807,-0.2613432705402374,-0.16367772221565247
-0.08048459887504578,-0.25354063510894775,-0.19286346435546875
-0.0813014954328537,-0.2543256878852844,-0.19003230333328247
-0.08211745321750641,-0.25510963797569275,-0.18720345199108124
-0.08293351531028748,-0.2558935880661011,-0.18437537550926208
-0.08374933898448944,-0.2566775679588318,-0.18154823780059814
-0.08456426113843918,-0.25746068358421326,-0.17872239649295807
-0.08537936210632324,-0.25824350118637085,-0.17589664459228516
-0.08619373291730881,-0.25902658700942993,-0.1730726957321167
-0.08700880408287048,-0.2598091661930084,-0.17025047540664673
-0.08782300353050232,-0.2605915665626526,-0.1674289107322693
-0.0886368453502655,-0.26137372851371765,-0.16460825502872467
-0.08945013582706451,-0.26215529441833496,-0.1617879718542099
-0.09026303887367249,-0.26293617486953735,-0.15896931290626526
-0.09107595682144165,-0.2637174725532532,-0.15615186095237732
-0.0742398202419281,-0.25279155373573303,-0.19660501182079315
-0.0750567615032196,-0.2535758912563324,-0.19377551972866058
-0.07587410509586334,-0.2543599605560303,-0.19094684720039368
-0.07669080793857574,-0.25514382123947144,-0.18811815977096558
-0.07750735431909561,-0.2559273838996887,-0.18529219925403595
-0.07832302153110504,-0.25671055912971497,-0.18246683478355408
-0.07913918793201447,-0.25749343633651733,-0.17964249849319458
-0.07995438575744629,-0.25827622413635254,-0.17681945860385895
-0.08076976239681244,-0.2590586543083191,-0.17399674654006958
-0.08158476650714874,-0.259840190410614,-0.17117533087730408
-0.08239947259426117,-0.26062238216400146,-0.16835537552833557
-0.08321333676576614,-0.26140326261520386,-0.1655365228652954
-0.08402755111455917,-0.26218485832214355,-0.16271936893463135
-0.08484119176864624,-0.2629655599594116,-0.15990112721920013
-0.08565449714660645,-0.26374635100364685,-0.15708526968955994
-0.08646754175424576,-0.2645266056060791,-0.1542704850435257
-0.08727998286485672,-0.2653058171272278,-0.15145675837993622
-0.08809269219636917,-0.26608601212501526,-0.14864462614059448
-0.06881705671548843,-0.2528272867202759,-0.197513610124588
-0.06963524222373962,-0.25361114740371704,-0.19468554854393005
-0.07045286893844604,-0.25439485907554626,-0.19185885787010193
