X,Y,Z
-0.24579161405563354,-0.34830379486083984,-0.06431953608989716
-0.24486908316612244,-0.3472827672958374,-0.0598662868142128
-0.24394840002059937,-0.3462640047073364,-0.05542289465665817
-0.24302862584590912,-0.3452466130256653,-0.05098694562911987
-0.242110937833786,-0.34423136711120605,-0.04655890166759491
-0.24119523167610168,-0.34321820735931396,-0.04213949292898178
-0.24028024077415466,-0.3422059118747711,-0.03772619366645813
-0.24061763286590576,-0.3425033688545227,-0.0344587117433548
-0.2536720931529999,-0.3633574843406677,-0.13269135355949402
-0.252730131149292,-0.36230915784835815,-0.1281166523694992
-0.25178974866867065,-0.36126285791397095,-0.1235494390130043
-0.25085175037384033,-0.3602183759212494,-0.11899234354496002
-0.24991439282894135,-0.3591759204864502,-0.114442840218544
-0.24897953867912292,-0.3581353724002838,-0.10990244895219803
-0.2480466663837433,-0.35709723830223083,-0.1053708866238594
-0.24711480736732483,-0.3560601770877838,-0.10084584355354309
-0.24618452787399292,-0.35502544045448303,-0.096330426633358
-0.24525603652000427,-0.3539923131465912,-0.09182378649711609
-0.2443312108516693,-0.3529623746871948,-0.08732657134532928
-0.2434062957763672,-0.35193347930908203,-0.08283652365207672
-0.24248290061950684,-0.3509056568145752,-0.0783529281616211
-0.2415621280670166,-0.3498808741569519,-0.0738801509141922
-0.2406422346830368,-0.3488575518131256,-0.06941458582878113
-0.23972487449645996,-0.34783661365509033,-0.06495873630046844
-0.23880936205387115,-0.346817284822464,-0.06051020324230194
-0.23789465427398682,-0.3457997739315033,-0.056068792939186096
-0.23698195815086365,-0.3447839021682739,-0.05163610726594925
-0.236070454120636,-0.3437698781490326,-0.04721173644065857
-0.23516139388084412,-0.34275805950164795,-0.042796164751052856
-0.23425351083278656,-0.3417479991912842,-0.03838843107223511
-0.2347051501274109,-0.34216243028640747,-0.03522364795207977
-0.23755773901939392,-0.34509360790252686,-0.03424516320228577
-0.24041464924812317,-0.34802910685539246,-0.03326523303985596
-0.26175814867019653,-0.37881505489349365,-0.20289801061153412
-0.26079636812210083,-0.3777380585670471,-0.19819457828998566
-0.259836345911026,-0.3766629099845886,-0.1934998780488968
-0.2588772475719452,-0.37558940052986145,-0.18881306052207947
-0.2579196095466614,-0.3745179772377014,-0.18413496017456055
-0.2569647431373596,-0.3734489679336548,-0.17946778237819672
-0.256011962890625,-0.3723822832107544,-0.17480894923210144
-0.25506100058555603,-0.37131741642951965,-0.17015908658504486
-0.2541103661060333,-0.3702540397644043,-0.1655162274837494
-0.2531629800796509,-0.3691929876804352,-0.16088475286960602
-0.25221723318099976,-0.36813414096832275,-0.15626120567321777
-0.251272976398468,-0.3670773506164551,-0.15164637565612793
-0.25033074617385864,-0.36602267622947693,-0.14704066514968872
-0.2493898570537567,-0.36496955156326294,-0.14244233071804047
-0.24845129251480103,-0.36391860246658325,-0.13785380125045776
-0.2475145161151886,-0.36287006735801697,-0.1332743614912033
-0.24657943844795227,-0.36182308197021484,-0.12870323657989502
-0.24564605951309204,-0.3607783317565918,-0.12414075434207916
-0.24471327662467957,-0.3597346544265747,-0.11958508938550949
-0.2437843680381775,-0.358693927526474,-0.1150403618812561
-0.24285592138767242,-0.35765498876571655,-0.11050353944301605
-0.24192965030670166,-0.35661792755126953,-0.10597514361143112
-0.24100488424301147,-0.3555830121040344,-0.1014556884765625
-0.24008138477802277,-0.3545491695404053,-0.0969427153468132
-0.2391602098941803,-0.3535178601741791,-0.09243948757648468
-0.23824074864387512,-0.35248851776123047,-0.08794495463371277
-0.23732319474220276,-0.3514612317085266,-0.08345860987901688
-0.23640668392181396,-0.350435733795166,-0.07898107171058655
-0.2354915589094162,-0.34941157698631287,-0.07450922578573227
-0.2345789074897766,-0.34838995337486267,-0.07004832476377487
-0.23366810381412506,-0.34737011790275574,-0.06559516489505768
-0.2327590435743332,-0.34635239839553833,-0.0611506849527359
-0.23185113072395325,-0.34533628821372986,-0.05671405792236328
-0.2309449464082718,-0.34432175755500793,-0.05228401720523834
-0.23004060983657837,-0.34330910444259644,-0.0478634238243103
-0.2291370928287506,-0.3422980308532715,-0.04344998300075531
-0.2282363474369049,-0.341289758682251,-0.039046190679073334
-0.2288011610507965,-0.3418212831020355,-0.03598736226558685
-0.2316472828388214,-0.3447500467300415,-0.03500968962907791
-0.23449760675430298,-0.3476828932762146,-0.034031353890895844
-0.23735199868679047,-0.35061967372894287,-0.03305119276046753
-0.2402113825082779,-0.3535618185997009,-0.03206975758075714
-0.26031047105789185,-0.38371607661247253,-0.22706079483032227
-0.25934645533561707,-0.3826304078102112,-0.22231578826904297
-0.2583828568458557,-0.38154566287994385,-0.21757793426513672
-0.25742262601852417,-0.38046392798423767,-0.21285103261470795
-0.25646281242370605,-0.3793833255767822,-0.20813122391700745
-0.25550609827041626,-0.3783058822154999,-0.20342212915420532
-0.2545509934425354,-0.37723034620285034,-0.19872252643108368
-0.2535970211029053,-0.37615615129470825,-0.19403058290481567
-0.25264573097229004,-0.37508490681648254,-0.1893492341041565
-0.2516952455043793,-0.374014675617218,-0.1846746951341629
-0.25074711441993713,-0.37294718623161316,-0.1800103485584259
-0.24980109930038452,-0.37188154458999634,-0.17535564303398132
-0.24885651469230652,-0.37081819772720337,-0.17070937156677246
-0.24791419506072998,-0.3697567582130432,-0.16607199609279633
-0.24697299301624298,-0.368696928024292,-0.16144225001335144
-0.24603569507598877,-0.36764058470726013,-0.1568237990140915
-0.2450970709323883,-0.3665844798088074,-0.15221184492111206
-0.2441614866256714,-0.3655310869216919,-0.14760974049568176
-0.24322792887687683,-0.3644797205924988,-0.14301680028438568
-0.24229586124420166,-0.36342984437942505,-0.13843047618865967
-0.2413654625415802,-0.36238253116607666,-0.1338544487953186
-0.24043777585029602,-0.3613375425338745,-0.12928742170333862
-0.23951083421707153,-0.36029374599456787,-0.12472839653491974
-0.23858554661273956,-0.35925185680389404,-0.12017760425806046
-0.23766210675239563,-0.35821226239204407,-0.11563469469547272
-0.23674136400222778,-0.3571747839450836,-0.11110230535268784
-0.23582200706005096,-0.35613948106765747,-0.10657787322998047
-0.23490332067012787,-0.35510557889938354,-0.10206116735935211
-0.23398709297180176,-0.3540736436843872,-0.0975530743598938
-0.2330724596977234,-0.35304340720176697,-0.09305253624916077
-0.23215913772583008,-0.3520154058933258,-0.08856141567230225
-0.23124854266643524,-0.35098978877067566,-0.08407929539680481
-0.23033912479877472,-0.3499656915664673,-0.07960504293441772
-0.22943159937858582,-0.3489435911178589,-0.07513898611068726
-0.22852462530136108,-0.3479227125644684,-0.07067947089672089
-0.2276201844215393,-0.34690403938293457,-0.06622949242591858
-0.22671745717525482,-0.3458874225616455,-0.06178795173764229
-0.22581642866134644,-0.3448726534843445,-0.05735490471124649
-0.22491656243801117,-0.34385961294174194,-0.05292969197034836
-0.22401896119117737,-0.34284842014312744,-0.04851166903972626
-0.22312290966510773,-0.3418397009372711,-0.044102996587753296
-0.2222282886505127,-0.34083229303359985,-0.039702221751213074
-0.2229073941707611,-0.34148263931274414,-0.036749355494976044
-0.22574609518051147,-0.34440767765045166,-0.035773612558841705
-0.22859039902687073,-0.34733861684799194,-0.03479614853858948
-0.23143774271011353,-0.35027289390563965,-0.03381785750389099
-0.2342900037765503,-0.3532121479511261,-0.0328376442193985
-0.23714616894721985,-0.35615503787994385,-0.031855933368206024
-0.24000707268714905,-0.359103262424469,-0.030872978270053864
-0.2540366053581238,-0.3832013010978699,-0.22756658494472504
-0.2530783414840698,-0.38211601972579956,-0.22282353043556213
-0.2521224915981293,-0.38103345036506653,-0.21809066832065582
-0.25116896629333496,-0.37995287775993347,-0.21336740255355835
-0.25021684169769287,-0.3788743019104004,-0.20865239202976227
-0.2492656707763672,-0.3777971863746643,-0.20394527912139893
-0.24831819534301758,-0.37672334909439087,-0.19924958050251007
-0.24737095832824707,-0.37565097212791443,-0.19456210732460022
-0.2464270293712616,-0.3745808005332947,-0.18988408148288727
-0.24548402428627014,-0.373512864112854,-0.1852145493030548
-0.24454277753829956,-0.3724464774131775,-0.18055357038974762
-0.24360281229019165,-0.3713822662830353,-0.17590154707431793
-0.24266570806503296,-0.37032032012939453,-0.17125973105430603
-0.241729736328125,-0.36926019191741943,-0.166625514626503
-0.24079629778862,-0.36820247769355774,-0.16200101375579834
-0.23986327648162842,-0.36714595556259155,-0.15738382935523987
-0.23893336951732635,-0.3660925328731537,-0.15277715027332306
-0.238005131483078,-0.3650406301021576,-0.14817854762077332
-0.23707768321037292,-0.36399033665657043,-0.1435885727405548
-0.23615269362926483,-0.3629424273967743,-0.13900762796401978
-0.2352292835712433,-0.36189618706703186,-0.13443398475646973
-0.23430781066417694,-0.36085245013237,-0.12987087666988373
-0.23338793218135834,-0.3598101735115051,-0.1253151148557663
-0.2324696034193039,-0.3587702512741089,-0.1207687258720398
-0.23155376315116882,-0.3577323257923126,-0.11623120307922363
-0.23063889145851135,-0.35669583082199097,-0.11170011758804321
-0.2297256588935852,-0.3556615114212036,-0.107178695499897
-0.22881415486335754,-0.3546290397644043,-0.1026659905910492
-0.2279043346643448,-0.3535986542701721,-0.0981617271900177
-0.2269965410232544,-0.3525703549385071,-0.09366659820079803
-0.2260906845331192,-0.35154396295547485,-0.0891779437661171
-0.22518596053123474,-0.3505190312862396,-0.08469866216182709
-0.22428232431411743,-0.34949585795402527,-0.08022673428058624
-0.22338174283504486,-0.3484751880168915,-0.07576470077037811
-0.2224823236465454,-0.34745627641677856,-0.07131051272153854
-0.22158440947532654,-0.3464392125606537,-0.06686335057020187
-0.2206883430480957,-0.3454236388206482,-0.06242547184228897
-0.2197934091091156,-0.3444104790687561,-0.05799553543329239
-0.21890120208263397,-0.3433995842933655,-0.05357460677623749
-0.21801012754440308,-0.34238988161087036,-0.0491611510515213
-0.21711933612823486,-0.3413814306259155,-0.044754259288311005
-0.2162317931652069,-0.3403756320476532,-0.040356725454330444
-0.2170243114233017,-0.34114396572113037,-0.03751010447740555
-0.21985633671283722,-0.3440667390823364,-0.036535635590553284
-0.22269251942634583,-0.34699350595474243,-0.03556004911661148
-0.2255343496799469,-0.3499261140823364,-0.03458300232887268
-0.22837933897972107,-0.3528618812561035,-0.03360415995121002
-0.23122884333133698,-0.35580241680145264,-0.032623738050460815
-0.23408269882202148,-0.35874730348587036,-0.03164210170507431
-0.23694106936454773,-0.36169689893722534,-0.030658893287181854
-0.23980483412742615,-0.3646523356437683,-0.029674015939235687
-0.24777232110500336,-0.3826863765716553,-0.22807005047798157
-0.24682193994522095,-0.38160279393196106,-0.22333087027072906
-0.24587324261665344,-0.38052189350128174,-0.21860197186470032
-0.24492552876472473,-0.3794420659542084,-0.21388129889965057
-0.24398067593574524,-0.3783654570579529,-0.2091711461544037
-0.24303777515888214,-0.3772905468940735,-0.2044694721698761
-0.24209603667259216,-0.37621742486953735,-0.19977563619613647
-0.24115696549415588,-0.3751467168331146,-0.19509226083755493
-0.24021895229816437,-0.37407806515693665,-0.19041812419891357
-0.23928263783454895,-0.3730112910270691,-0.18575222790241241
-0.2383480817079544,-0.37194645404815674,-0.18109528720378876
-0.23741598427295685,-0.3708838224411011,-0.17644715309143066
-0.23648521304130554,-0.3698233664035797,-0.17180845141410828
-0.235556498169899,-0.36876481771469116,-0.1671789288520813
-0.23462995886802673,-0.3677085340023041,-0.16255798935890198
-0.2337043583393097,-0.3666539192199707,-0.1579451709985733
-0.23278069496154785,-0.3656013011932373,-0.15334053337574005
-0.2318589687347412,-0.36455097794532776,-0.14874646067619324
-0.2309388816356659,-0.36350229382514954,-0.144160196185112
-0.23002055287361145,-0.36245566606521606,-0.13958285748958588
-0.22910362482070923,-0.36141127347946167,-0.13501369953155518
-0.2281886339187622,-0.36036837100982666,-0.13045260310173035
-0.22727563977241516,-0.359327495098114,-0.12590040266513824
-0.22636452317237854,-0.3582892417907715,-0.1213584616780281
-0.22545531392097473,-0.3572528064250946,-0.11682449281215668
-0.22454673051834106,-0.35621771216392517,-0.11229778081178665
-0.22364047169685364,-0.3551846146583557,-0.10777895152568817
-0.22273564338684082,-0.3541536331176758,-0.10327006131410599
-0.22183310985565186,-0.3531246781349182,-0.09876880049705505
-0.22093172371387482,-0.3520977795124054,-0.0942772850394249
-0.22003139555454254,-0.35107213258743286,-0.08979249000549316
-0.21913395822048187,-0.3500489592552185,-0.08531640470027924
-0.21823731064796448,-0.34902769327163696,-0.08084912598133087
-0.2173435389995575,-0.3480081856250763,-0.07638998329639435
-0.2164503037929535,-0.34699079394340515,-0.07193964719772339
-0.215559184551239,-0.34597527980804443,-0.06749725341796875
-0.21466924250125885,-0.3449608385562897,-0.06306062638759613
-0.21378102898597717,-0.34394896030426025,-0.05863478034734726
-0.21289464831352234,-0.34293851256370544,-0.05421627312898636
-0.21201001107692719,-0.34193068742752075,-0.049807049334049225
-0.21112695336341858,-0.3409242630004883,-0.04540495574474335
-0.21024566888809204,-0.33991944789886475,-0.04100967198610306
-0.21115081012248993,-0.34080687165260315,-0.03826938569545746
-0.21397650241851807,-0.3437268137931824,-0.03729652613401413
-0.2168055772781372,-0.3466506600379944,-0.03632216155529022
-0.21963968873023987,-0.3495790362358093,-0.035346463322639465
-0.2224787175655365,-0.35251301527023315,-0.034368954598903656
-0.2253216654062271,-0.3554508090019226,-0.033390387892723083
-0.22816862165927887,-0.3583930432796478,-0.03240989148616791
-0.23102018237113953,-0.36133986711502075,-0.03142833709716797
-0.2338760495185852,-0.36429086327552795,-0.03044511377811432
-0.236737459897995,-0.36724770069122314,-0.029459722340106964
-0.24151965975761414,-0.382172554731369,-0.22857266664505005
-0.24057582020759583,-0.3810904622077942,-0.22383806109428406
-0.23963333666324615,-0.3800101578235626,-0.21911099553108215
-0.23869433999061584,-0.378932923078537,-0.21439561247825623
-0.2377563714981079,-0.3778577446937561,-0.20968902111053467
-0.23682013154029846,-0.37678414583206177,-0.204990953207016
-0.23588496446609497,-0.37571239471435547,-0.20030193030834198
-0.2349529266357422,-0.3746434450149536,-0.19562175869941711
-0.23402148485183716,-0.37357592582702637,-0.19095054268836975
-0.23309335112571716,-0.3725109100341797,-0.1862892061471939
-0.23216518759727478,-0.37144729495048523,-0.18163567781448364
-0.23123982548713684,-0.3703864812850952,-0.1769919991493225
