X,Y,Z
-0.18251363933086395,-0.15440621972084045,-0.23830248415470123
-0.17510010302066803,-0.15263617038726807,-0.24093803763389587
-0.17628200352191925,-0.15381835401058197,-0.23847007751464844
-0.17746436595916748,-0.1550007313489914,-0.23600299656391144
-0.17864564061164856,-0.15618205070495605,-0.23353451490402222
-0.17982731759548187,-0.15736442804336548,-0.23106727004051208
-0.16770042479038239,-0.15086911618709564,-0.24356937408447266
-0.16888129711151123,-0.1520499438047409,-0.24110373854637146
-0.17006249725818634,-0.1532314121723175,-0.2386372685432434
-0.17124350368976593,-0.1544126719236374,-0.23617243766784668
-0.17242377996444702,-0.15559320151805878,-0.2337067723274231
-0.173604354262352,-0.1567741483449936,-0.23124200105667114
-0.17478524148464203,-0.1579548418521881,-0.22877725958824158
-0.17596593499183655,-0.15913590788841248,-0.22631165385246277
-0.17714641988277435,-0.16031645238399506,-0.2238471508026123
-0.1614958494901657,-0.150286003947258,-0.24373182654380798
-0.1626758873462677,-0.15146613121032715,-0.2412688434123993
-0.1638551652431488,-0.15264570713043213,-0.2388051152229309
-0.16503532230854034,-0.15382564067840576,-0.23634198307991028
-0.16621516644954681,-0.15500566363334656,-0.23387914896011353
-0.16739386320114136,-0.15618488192558289,-0.23141618072986603
-0.1685739904642105,-0.15736466646194458,-0.2289545238018036
-0.16975316405296326,-0.1585441529750824,-0.22649161517620087
-0.17093290388584137,-0.1597241461277008,-0.2240288257598877
-0.1721121221780777,-0.1609034538269043,-0.2215663641691208
-0.1732914298772812,-0.16208265721797943,-0.2191041111946106
-0.1541234850883484,-0.14852485060691833,-0.24635426700115204
-0.15530289709568024,-0.14970412850379944,-0.24389365315437317
-0.15648111701011658,-0.15088264644145966,-0.2414327710866928
-0.15765975415706635,-0.1520610749721527,-0.2389715611934662
-0.15883852541446686,-0.15323984622955322,-0.23651137948036194
-0.16001740097999573,-0.1544187366962433,-0.23405039310455322
-0.1611957848072052,-0.15559707581996918,-0.23158994317054749
-0.16237464547157288,-0.15677593648433685,-0.22913017868995667
-0.16355232894420624,-0.15795402228832245,-0.22667014598846436
-0.16473068296909332,-0.15913233160972595,-0.22421036660671234
-0.16590864956378937,-0.16031068563461304,-0.22174981236457825
-0.167087122797966,-0.16148918867111206,-0.21929018199443817
-0.16826488077640533,-0.16266725957393646,-0.21683081984519958
-0.1694435030221939,-0.16384541988372803,-0.21437141299247742
-0.17062097787857056,-0.16502337157726288,-0.21191224455833435
-0.1467670351266861,-0.14676685631275177,-0.24897310137748718
-0.1479446440935135,-0.14794453978538513,-0.24651460349559784
-0.14912283420562744,-0.1491227149963379,-0.24405509233474731
-0.15030048787593842,-0.15030018985271454,-0.2415970414876938
-0.15147769451141357,-0.15147751569747925,-0.2391386777162552
-0.15265554189682007,-0.15265527367591858,-0.23668064177036285
-0.15383268892765045,-0.15383252501487732,-0.234222412109375
-0.15501046180725098,-0.15501031279563904,-0.23176373541355133
